character_id,normalized_name,neutral,disapproval,annoyance,disappointment,approval,realization,anger,desire,sadness,excitement,caring,joy,optimism,curiosity,amusement,confusion,admiration,surprise,disgust,relief,embarrassment,love,fear,gratitude,nervousness,grief,remorse,pride
2,homer simpson,-0.025155110147329886,-0.13110711432138436,0.05911046160002213,0.032416223678870565,-0.126870221278015,0.11955619581817578,-0.008722630865525558,0.013995446629845264,0.04486862834902588,-0.07053308799700793,0.03761187723722069,0.051514188733185674,-0.04318594821082542,-0.004762016434409635,-0.19634947297311073,0.060062417692161724,0.06819679706473776,-0.014752926350258768,0.06615734004981288,0.03450115918399507,0.006701337556435527,0.1451310010298374,0.05515085332333907,-0.05525832540607425,0.028369061790300562,0.061325241026083575,-0.0094841333149954,-0.05651588456928221
1,marge simpson,0.030040836837058042,-0.0945539853735798,-0.028810723233992672,0.04912429091233344,-0.022503490726943614,0.07012142849255454,0.0393449362723448,-0.018289944117979514,0.06965781448362621,0.027859551750822015,-0.08969538468923902,0.08447363133375456,-0.07549013248494504,-0.08634950275744546,-0.01786806316305421,-0.10763507665283827,-0.029305328714988636,-0.03374023342981189,-0.024180522152159645,0.06319627293460442,-0.012129990630975935,0.08890854674997752,-0.028520167456287618,0.018038119075028194,0.03743521702035061,0.05727615819838123,-0.009451526738778394,-0.05711416734588978
8,bart simpson,0.035370639955048,0.02154543943834155,0.10326800982727567,0.054646079198951696,-0.09055781507181197,0.10519385575683277,-0.03402578578748309,-0.006308792449302396,0.024677337361114375,-0.04807164907693246,0.04135497666726605,0.02879479202936426,-0.02352194553905708,0.07187134265571868,-0.1357295138040266,0.06897148683889533,0.025049760397020882,-0.13803038512895044,0.013065546541954806,0.0579463100533138,-0.028371886843582397,-0.053002771776715106,-0.09172587196107757,-0.11045962114052767,-0.04839734455110437,0.03784057357995003,-0.08729573825656478,-0.018506706013646172
9,lisa simpson,0.01271119618736789,-0.10125040461145217,-0.009360256599122407,-0.033921456054305424,0.02762058885916304,0.011678646509927752,0.033425082165208175,-0.055032233247707105,0.03544006081733382,-0.04303007222384113,-0.012784148027314344,-0.00435652832975729,-0.050073903899724465,0.06464947042979444,-0.06314860047750134,0.0008010229828710159,0.10648950528803064,-0.012101151606979655,-0.08529735469161405,0.036887332080193014,-0.034622252442159565,0.03584122989689139,0.019481819027949064,0.00690910623098135,0.0025283379685981182,0.032832586533150125,0.04445770230695111,0.041932046137019625
15,c montgomery burns,0.00788328037244802,-0.0630553792633292,0.06979340510928751,0.10641856309222131,0.07565038471973602,-0.02594730926285077,0.1123837954249378,-0.10204195476799445,0.20831768003142676,-0.04886001696939211,-0.001407681605520778,-0.0853863798557181,-0.0010563846289157479,0.0062984869186520406,-0.04337538193352003,0.03904288244479002,-0.0842140001817377,-0.14774653006752547,0.10839756625863468,-0.09671615804293705,0.11347100023916935,-0.06935595963145944,0.06708740533351733,0.007859005241638708,-0.01883175660542555,0.1224449104292522,0.1014746529885806,-0.12950076183986353
17,moe szyslak,-0.0737543228204106,0.06692848540992205,-0.013631053462941167,0.02434259514243945,0.054125124767700435,0.03871049888655446,0.07319242168791612,-0.043733606139423675,0.06844480303608311,0.009255307612619721,-0.031807065476614514,-0.029814480176414655,0.09706288500992225,-0.0245132104878113,-0.057705467569762636,-0.04325454176714622,0.026616633225705916,0.07097123030605078,-0.05918290863389818,-0.004881828158012958,0.11785669705936365,0.075232586870186,0.07486918788979702,0.036484699490593735,0.0001180151674265041,0.07294684202676745,-0.01991555607124697,-0.015821253823555776
3,seymour skinner,0.09768601449986256,-0.014075868040947074,-0.05448070771974351,0.023101702303415687,0.07467014867377927,0.11909029483868624,-0.023949077716890865,-0.07266478625781062,0.022844620670630825,-0.11158933385660347,-0.05650372175615776,-0.05979621982040692,-0.05286928691517236,0.019551385477692314,-0.10016624718085061,0.0973903778049022,0.017275214768957,-0.034014839254761245,-0.10461883898907402,0.039419072967282386,-0.03393530929324281,-0.07294405627012172,0.022729456243827332,-0.06025624226267291,0.0027744770721693894,-0.006815193796825981,-0.011068620400469832,0.034268697897539675
11,ned flanders,0.03167087008242896,0.1478918128722532,0.0038666054390352447,0.13342456509349768,-0.0721906942631939,0.07831944784768928,-0.02475532925840962,-0.07903865561082184,0.020041515553889264,0.11251189242682148,0.036447957304816085,-0.02781001568386842,-0.09617640540915626,-0.11996943033355137,-0.10017124406617943,0.08493488131448859,0.022911295648375244,-0.022184798034067803,-0.07268810584834477,0.018749757107875298,0.006119814602391457,0.0648968544104485,-0.040876535701843256,-0.06992489554588237,0.0008008310936561254,-0.0026539707945113416,-0.03511693536966714,0.014834767792649998
31,grampa simpson,0.0022067744359215353,-0.09062422448437883,-0.049053449316333896,0.03130313935428824,0.06930263049453651,-0.03640005268306699,-0.03641717678211308,0.10374006745236046,-0.004682893239987254,-0.07260027665763434,0.013574044242464672,-0.011974753591392173,-0.15148068561317296,-0.11019810160451016,-0.0924224542202676,-0.12754818855509714,0.11834262038997033,-0.011474286354131676,0.06177253187525497,0.060607054025137906,0.03500813182404193,0.027145442692596475,-0.07083875055843677,0.10499360007904596,-0.06367401340696265,0.020298336321196618,-0.06568111521050835,0.05327818213352085
71,chief wiggum,0.0960854424895066,-0.028570921042766685,0.06462940249511002,-0.04475246973195314,-0.030353701912160296,-0.025755723507476243,0.11881923476388855,0.08652831187311603,-0.038044315831195254,0.005956772493414891,0.014851910220900998,-0.07851487786538727,0.06412613758549626,0.025937269854666857,-0.05404549724776017,-0.017883191144562164,-0.10937225921948472,0.020712447754250487,-0.03335753066557918,-0.07647319562215917,0.0038611805063133286,-0.016473171848367073,-0.13125140681407552,-0.05821639387284999,-0.1448364722303911,-0.08274595358056223,0.15526821052311854,-0.058475095572842924
