personaje,imdb_rating,episode_id,genero
fat tony,-0.0012577794920531,0.0312718851439768,M
legs,0.0783383649640618,-0.0321056731695283,M
louie,-0.0213701807751593,0.0621304076821146,M
luann van houten,-0.0097584102484574,0.0179983139193053,F
rabbi hyman krustofsky,-0.0388664826094615,-0.0173981694353281,M
waitress,-0.0027671901483468,-0.0416929305591095,F
stagehand,0.0605730175469507,-0.0267980677236732,M
townspeople,0.0051592980690819,0.0018374717231486,
robot,0.0231522612278785,-0.0113331765438171,
lunchlady doris,0.1972121557238328,-0.146089821492982,F
football announcer,-0.0288235864544094,-0.0290992662721877,M
girls,0.0436248422985161,-0.0527898100566212,
aide,-0.005495259693627,0.0006088567122652,M
everyone,0.0204412550166605,-0.0968400584999592,
bartender,0.0215100095169989,0.009603777351181,M
charlie,0.036532587727253,0.0076743860372132,M
driver,0.0593749754529661,-0.0482601546422359,M
boy,-0.0245177243291782,0.033735855248065,M
sideshow mel,-0.1079544219691547,0.0773165348967848,M
tour guide,0.0100712714427493,-0.0495059947951802,M
employee,-0.0482781969151947,0.0345486409626269,
god,0.0440851541248825,-0.0087124811224958,
comic book guy,-0.0615774108194026,0.1037294399772873,M
kirk van houten,-0.0379666107572351,0.0599745562369264,M
teachers,-0.0197676701564838,-0.0006797803182287,
santa claus,-0.0301523263944122,0.0313253185629933,M
bumblebee man,0.1061779428633572,-0.0629024454791778,M
squeaky-voiced teen,-0.1495921413919868,0.189005350958244,M
mailman,-0.0539224102883347,0.017109789466183,M
old woman,0.0164335762124356,-0.093364006682647,F
captain horatio mccallister,0.0284035602288634,-0.0271574467682733,M
hans moleman,0.0499091645790249,-0.0229601840317991,M
reporters,0.055994307888732,-0.0591568560235723,
boys,-0.0649531947085799,0.0750135813241117,
santas little helper,-0.001635717741597,0.0713121801090395,
cat,-0.012750593288522,0.0125731206173067,
gary chalmers,-0.0496146960943472,0.1581591616755694,M
hitler,0.0473836597503252,-0.0371525453818682,M
actor,-0.0404981344565994,0.0234586567155287,M
assistant,0.0312259962417688,-0.0133356948113099,
rainier wolfcastle,0.0194261677481297,-0.0152161905394707,M
sarah wiggum,0.0070374550218869,-0.0059459386573963,F
womans voice,0.0161744737233553,0.0270069829087285,F
workman,0.0315778689531696,-0.0300652913516261,M
technician,0.0452939131164656,0.0190582412067693,M
female executive,-0.0699388750611356,0.025361143275728,F
congregation,0.0100002660603724,-0.0065589428772047,
bill clinton,-0.0920415118725597,0.0309002730006837,M
cletus spuckler,-0.1279948529435151,0.1697949109591316,M
class,0.055345953368683,-0.012547243438628,
luigi,-0.0935707700373516,0.0910552023008346,M
old jewish man,-0.1004877529934605,0.1118101020778574,M
snowball ii,0.0399839331668585,-0.018743823501537,
Üter,0.1011414870141659,-0.0575870991058822,M
the rich texan,-0.0881555409691416,0.0819649165133172,M
database,-0.0137391835361585,0.0450502835485894,
disco stu,-0.0654107220900326,0.0583486183732992,M
brandine del roy,-0.1493469489855057,0.1605013694742723,F
simpsons,-0.0018899706210767,-0.0321761532515297,
women,-0.0511934264004757,0.0199687835269992,
manjula nahasapeemapetilon,-0.0499042462218131,0.0150967152190077,F
drederick tatum,-0.0920456488127453,0.0636772530563291,M
bernice hibbert,-0.1004645396704221,0.1085576835734793,F
paramedic,-0.0959245728664657,0.0790265604931067,M
duffman,-0.0598739643981926,0.0618034970001843,M
gil gunderson,-0.102255206849151,0.0822699142455718,M
mr teeny,-0.0489676337442038,0.090162432929956,
bullies,-0.0480118853648777,0.0418682279695393,
cat lady,-0.1261398209527001,0.1061785677607533,F
cow,-0.039997475809104,0.0472689372761395,
minister,0.00983074774848,-0.0045887747813673,M
mrs muntz,-0.0869430915597352,0.1130160914713035,F
lindsay naegle,-0.0882045032469154,0.07757047151809,F
johnny tightlips,-0.064802649331674,0.0877698916841056,M
springfielders,-0.0752954500027786,0.1101391231837449,
cookie kwan,-0.0897119732844317,0.0806149578578307,F
julio,-0.0737122978816787,0.108395992353661,M
coach krupt,-0.0956123622314067,0.0864968550387729,M
lunchlady dora,-0.0988656905483993,0.1553113085405056,F
shauna chalmers,-0.0645175105923835,0.116152771045828,F
